model,imputation,param_model__C,log_C,param_model__min_samples_leaf,param_model__min_samples_split,metric,score,dataset
Random Forest,MICE,,,2,5,f1,0.4725429066160274,Validation
Random Forest,MICE,,,2,10,f1,0.47322381545441056,Validation
Random Forest,MICE,,,2,15,f1,0.4774480231848692,Validation
Random Forest,MICE,,,2,20,f1,0.47913403883427486,Validation
Random Forest,MICE,,,5,2,f1,0.48075903986801843,Validation
Random Forest,MICE,,,5,5,f1,0.48075903986801843,Validation
Random Forest,MICE,,,5,10,f1,0.48075903986801843,Validation
Random Forest,MICE,,,5,15,f1,0.48350044946387616,Validation
Random Forest,MICE,,,5,20,f1,0.48332443751352877,Validation
Logistic Regression,KNN,0.001,-6.907755278982137,,,precision,0.4693452430830428,Train
Logistic Regression,KNN,0.01,-4.605170185988091,,,precision,0.4693452430830428,Train
Logistic Regression,KNN,0.1,-2.3025850929940455,,,precision,0.4693452430830428,Train
Logistic Regression,KNN,1.0,0.0,,,precision,0.4693452430830428,Train
Logistic Regression,KNN,10.0,2.302585092994046,,,precision,0.4693452430830428,Train
Logistic Regression,KNN,100.0,4.605170185988092,,,precision,0.4693452430830428,Train
Support Vector Machine,KNN,0.001,-6.907755278982137,,,precision,0.1095811818703385,Train
Support Vector Machine,KNN,0.01,-4.605170185988091,,,precision,0.43947302717998415,Train
Support Vector Machine,KNN,0.1,-2.3025850929940455,,,precision,0.47260488637235015,Train
Support Vector Machine,KNN,1.0,0.0,,,precision,0.47852396054488744,Train
Support Vector Machine,KNN,10.0,2.302585092994046,,,precision,0.4831410424844307,Train
Support Vector Machine,KNN,100.0,4.605170185988092,,,precision,0.48401806093325106,Train
Decision Tree,KNN,,,1,2,precision,0.4934127195706547,Train
Decision Tree,KNN,,,1,5,precision,0.48976750242688694,Train
Decision Tree,KNN,,,1,10,precision,0.4847441807869647,Train
Decision Tree,KNN,,,1,15,precision,0.4825350636968187,Train
Decision Tree,KNN,,,1,20,precision,0.4802349271655115,Train
Decision Tree,KNN,,,2,2,precision,0.48599407246695436,Train
Decision Tree,KNN,,,2,5,precision,0.48581530698686676,Train
Decision Tree,KNN,,,2,10,precision,0.48325884348489634,Train
Decision Tree,KNN,,,2,15,precision,0.4814124535801154,Train
Decision Tree,KNN,,,2,20,precision,0.4795059160806064,Train
Decision Tree,KNN,,,5,2,precision,0.48005586722093063,Train
Decision Tree,KNN,,,5,5,precision,0.48005586722093063,Train
Decision Tree,KNN,,,5,10,precision,0.48005586722093063,Train
Decision Tree,KNN,,,5,15,precision,0.4793529516250409,Train
Decision Tree,KNN,,,5,20,precision,0.47832225444102555,Train
Random Forest,KNN,,,1,2,precision,0.5038435627035096,Train
Random Forest,KNN,,,1,5,precision,0.4994188608389359,Train
Random Forest,KNN,,,1,10,precision,0.493189041815612,Train
Random Forest,KNN,,,1,15,precision,0.4890310622687197,Train
Random Forest,KNN,,,1,20,precision,0.4863880826949076,Train
Random Forest,KNN,,,2,2,precision,0.49365889658138945,Train
Random Forest,KNN,,,2,5,precision,0.49320542614973645,Train
Random Forest,KNN,,,2,10,precision,0.4889455132804562,Train
Random Forest,KNN,,,2,15,precision,0.4851656014560895,Train
Random Forest,KNN,,,2,20,precision,0.48314911900559454,Train
Random Forest,KNN,,,5,2,precision,0.48374736294848825,Train
Random Forest,KNN,,,5,5,precision,0.48374736294848825,Train
Random Forest,KNN,,,5,10,precision,0.48374736294848825,Train
Random Forest,KNN,,,5,15,precision,0.4818096770822968,Train
Random Forest,KNN,,,5,20,precision,0.4799097276399557,Train
Logistic Regression,KNN,0.001,-6.907755278982137,,,precision,0.4688421935454196,Train
Logistic Regression,KNN,0.01,-4.605170185988091,,,precision,0.4688421935454196,Train
Logistic Regression,KNN,0.1,-2.3025850929940455,,,precision,0.4688421935454196,Train
Logistic Regression,KNN,1.0,0.0,,,precision,0.4688421935454196,Train
Logistic Regression,KNN,10.0,2.302585092994046,,,precision,0.4688421935454196,Train
Logistic Regression,KNN,100.0,4.605170185988092,,,precision,0.4688421935454196,Train
Support Vector Machine,II,0.001,-6.907755278982137,,,precision,0.1095811818703385,Train
Support Vector Machine,II,0.01,-4.605170185988091,,,precision,0.4419627630104442,Train
Support Vector Machine,II,0.1,-2.3025850929940455,,,precision,0.4761761611271961,Train
Support Vector Machine,II,1.0,0.0,,,precision,0.47962433504213686,Train
Support Vector Machine,II,10.0,2.302585092994046,,,precision,0.48295416501319527,Train
Support Vector Machine,II,100.0,4.605170185988092,,,precision,0.4858660308747085,Train
Decision Tree,II,,,1,2,precision,0.5000833074705116,Train
Decision Tree,II,,,1,5,precision,0.4961158332355579,Train
Decision Tree,II,,,1,10,precision,0.4909086656581936,Train
Decision Tree,II,,,1,15,precision,0.4883536343734414,Train
Decision Tree,II,,,1,20,precision,0.48625011644248783,Train
Decision Tree,II,,,2,2,precision,0.4911675618489697,Train
Decision Tree,II,,,2,5,precision,0.4910969860800552,Train
Decision Tree,II,,,2,10,precision,0.48877242169902774,Train
Decision Tree,II,,,2,15,precision,0.48670846843176485,Train
Decision Tree,II,,,2,20,precision,0.4849646220856603,Train
Decision Tree,II,,,5,2,precision,0.4815678629253124,Train
Decision Tree,II,,,5,5,precision,0.4815678629253124,Train
Decision Tree,II,,,5,10,precision,0.4815678629253124,Train
Decision Tree,II,,,5,15,precision,0.4814969002681519,Train
Decision Tree,II,,,5,20,precision,0.48051432684859324,Train
Random Forest,II,,,1,2,precision,0.513535718797333,Train
Random Forest,II,,,1,5,precision,0.5089771009544454,Train
Random Forest,II,,,1,10,precision,0.5022916593383447,Train
